age,education,marital_status,sex,capital_gain,capital_loss,hours_per_week,country,income
39,Bachelors,Never-married,Male,2174,0,40,United-States,1
50,Bachelors,Married-civ-spouse,Male,0,0,13,United-States,1
38,HS-grad,Divorced,Male,0,0,40,United-States,1
53,11th,Married-civ-spouse,Male,0,0,40,United-States,1
28,Bachelors,Married-civ-spouse,Female,0,0,40,Cuba,1
37,Masters,Married-civ-spouse,Female,0,0,40,United-States,1
49,9th,Married-spouse-absent,Female,0,0,16,Jamaica,1
52,HS-grad,Married-civ-spouse,Male,0,0,45,United-States,0
31,Masters,Never-married,Female,14084,0,50,United-States,0
42,Bachelors,Married-civ-spouse,Male,5178,0,40,United-States,0
37,Some-college,Married-civ-spouse,Male,0,0,80,United-States,0
30,Bachelors,Married-civ-spouse,Male,0,0,40,India,0
23,Bachelors,Never-married,Female,0,0,30,United-States,1
32,Assoc-acdm,Never-married,Male,0,0,50,United-States,1
40,Assoc-voc,Married-civ-spouse,Male,0,0,40,?,0
34,7th-8th,Married-civ-spouse,Male,0,0,45,Mexico,1
25,HS-grad,Never-married,Male,0,0,35,United-States,1
32,HS-grad,Never-married,Male,0,0,40,United-States,1
38,11th,Married-civ-spouse,Male,0,0,50,United-States,1
43,Masters,Divorced,Female,0,0,45,United-States,0
40,Doctorate,Married-civ-spouse,Male,0,0,60,United-States,0
54,HS-grad,Separated,Female,0,0,20,United-States,1
35,9th,Married-civ-spouse,Male,0,0,40,United-States,1
43,11th,Married-civ-spouse,Male,0,2042,40,United-States,1
59,HS-grad,Divorced,Female,0,0,40,United-States,1
56,Bachelors,Married-civ-spouse,Male,0,0,40,United-States,0
19,HS-grad,Never-married,Male,0,0,40,United-States,1
54,Some-college,Married-civ-spouse,Male,0,0,60,South,0
39,HS-grad,Divorced,Male,0,0,80,United-States,1
49,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
23,Assoc-acdm,Never-married,Male,0,0,52,United-States,1
20,Some-college,Never-married,Male,0,0,44,United-States,1
45,Bachelors,Divorced,Male,0,1408,40,United-States,1
30,Some-college,Married-civ-spouse,Male,0,0,40,United-States,1
22,Some-college,Married-civ-spouse,Male,0,0,15,United-States,1
